filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1121_1208,advanced_random,dorothea_500_1000,,,,,0.003,140.169,0.28,0.004,0.002,0.0,0.008,0.017,0.066,0.137,0.282,,,
baseline_advanced_random_1121_1347,advanced_random,dorothea_500_1000,,,,,0.003,140.169,0.28,0.004,0.002,0.0,0.008,0.017,0.066,0.137,0.282,,,
baseline_overlap_1121_1208,overlap,dorothea_500_1000,,,,,0.008,141.414,0.283,0.004,0.002,0.0,0.006,0.031,0.088,0.156,0.299,,,
baseline_overlap_1121_1347,overlap,dorothea_500_1000,,,,,0.008,141.414,0.283,0.004,0.002,0.0,0.006,0.031,0.088,0.156,0.299,,,
baseline_random_1121_1208,random,dorothea_500_1000,,,,,0.002,251.479,0.503,0.002,0.002,0.0,0.004,0.008,0.037,0.072,0.152,,,
baseline_random_1121_1347,random,dorothea_500_1000,,,,,0.002,251.479,0.503,0.002,0.002,0.0,0.004,0.008,0.037,0.072,0.152,,,
baseline_smallestSuperset_1121_1208,smallestSuperset,dorothea_500_1000,,,,,0.002,256.482,0.513,0.002,0.002,0.002,0.002,0.014,0.04,0.086,0.155,,,
baseline_smallestSuperset_1121_1347,smallestSuperset,dorothea_500_1000,,,,,0.002,256.482,0.513,0.002,0.002,0.002,0.002,0.014,0.04,0.086,0.155,,,
pdgrapher_1119_1141,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.498,0.004,139.687,0.279,0.282,-0.225,-2.235,1.156,0.021,0.079,0.152,0.296,"{'recall@1': 0.0048, 'recall@10': 0.0346, 'recall@100': 0.3559, 'recall@1000': 1.0, 'ranking_score': 0.7137, 'ranking_score_dcg': 0.122, 'perc_partially_accurate_predictions': 0.48, 'recall@1_std': 0.069, 'recall@10_std': 0.1829, 'recall@100_std': 0.4788, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1719, 'ranking_score_dcg_std': 0.0929, 'perc_partially_accurate_predictions_std': 6.9, 'total_samples': 5024, 'avg_topk': 356.8254}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 5024, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.113, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 5024, 'times_true_source': 19, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.255, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 142.421, 'avg_prob_when_true': 0.252, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 5024, 'times_true_source': 15, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.388, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 122.533, 'avg_prob_when_true': 0.351, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 5024, 'times_true_source': 18, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.4, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 102.333, 'avg_prob_when_true': 0.395, 'in_top20_when_true': 1, 'in_top40_when_true': 2, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1119_1200,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.498,0.006,136.409,0.273,0.192,-0.47,-2.698,1.162,0.027,0.085,0.161,0.303,"{'recall@1': 0.003, 'recall@10': 0.0378, 'recall@100': 0.3585, 'recall@1000': 1.0, 'ranking_score': 0.7176, 'ranking_score_dcg': 0.1218, 'perc_partially_accurate_predictions': 0.3, 'recall@1_std': 0.0546, 'recall@10_std': 0.1908, 'recall@100_std': 0.4796, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1658, 'ranking_score_dcg_std': 0.0864, 'perc_partially_accurate_predictions_std': 5.46, 'total_samples': 5024, 'avg_topk': 358.7916}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 5024, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.541, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 5024, 'times_true_source': 19, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.18, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 117.947, 'avg_prob_when_true': 0.2, 'in_top20_when_true': 1, 'in_top40_when_true': 4, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 5024, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.219, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 109.467, 'avg_prob_when_true': 0.261, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 5024, 'times_true_source': 18, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.011, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 211.278, 'avg_prob_when_true': 0.023, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
